event_number,event_text,predicted_label,confidence,pos_score,neu_score,neg_score,valence_event_continuous,arousal_event_score
1,"I'm an arctic guy. I study arctic science. When I go to a cocktail party and I tell people what I do, they kind of run away from me usually. The northern hemisphere of your planet Earth, where you live, it's covered with an ocean, but on top of that ocean is a sea ice cover.",neutral,0.6384516954421997,0.11132900416851044,0.6384516954421997,0.25021934509277344,-0.138890340924263,0.3615483045578003
2,"So when I started my research work in the arctic, and there wasn't much happening, really. It wasn't no big changes going on in the sea ice cover. We never really thought that sea ice would become sort of a fundamental characteristic of our international discourse about global warming and the fact that our planet is warming at a global scale.",neutral,0.5631363391876221,0.0698019340634346,0.5631363391876221,0.36706170439720154,-0.29725977033376694,0.43686366081237793
3,And we're going to have at some point in the near future no ice in the northern hemisphere in summer. Now that's a very major change that's happened on our planet system. And I work with a whole bunch of scientists from all around the world that study this. And we study the sea ice itself. We also study the connections with glacial ice and the land and all those kind of things.,neutral,0.7077445387840271,0.17712636291980743,0.7077445387840271,0.11512906104326248,0.06199730187654495,0.2922554612159729
4,"But when you look at what's happening to the sea ice cover, this change that we have, this reduction, we found recently that this is significant over at least the last 1,450 years. So that includes the last medieval warm period it includes the cold periods before that it includes right up to before the industrial revolution so in fact what we're seeing in the Arctic right now is unique to our time scale of what we're talking about on the planet.",neutral,0.7150004506111145,0.24373985826969147,0.7150004506111145,0.04125963896512985,0.20248021930456161,0.2849995493888855
5,To do this work we have a whole bunch of tools. One of our largest and most visible tools is the research icebreaker the Amundsen. The Amundsen is a ship that will hold 40 scientists and we can deploy to the Arctic anywhere in the Arctic for any amount of time.,positive,0.7145596146583557,0.7145596146583557,0.2813146710395813,0.0041257762350142,0.7104338384233415,0.7186853289604187
6,"So we've overwintered now twice in the high Arctic and we're studying everything in this system. So we study everything from the bottom of the ocean to the top of the atmosphere in the physical world, everything from viruses to whales in the biological world and all the connections between those.",neutral,0.8433918356895447,0.09348338842391968,0.8433918356895447,0.06312477588653564,0.030358612537384033,0.15660816431045532
7,"This takes a lot of people so the networks are not just here at the University of Manitoba but We have a national network called ArcticNet, which includes Laval University and many other universities across the country. We also have an international network, which includes universities around the world that study the Arctic.",neutral,0.6496908664703369,0.34234941005706787,0.6496908664703369,0.007959768176078796,0.3343896418809891,0.3503091335296631
8,Now I could talk for a long time about this. I write books about these kind of things. But I wanted to just highlight a few key things that are happening. And these are things that we were surprised about.,neutral,0.6382643580436707,0.2939895689487457,0.6382643580436707,0.06774609535932541,0.22624347358942032,0.36173564195632935
9,"First one is, multi-year sea ice is being replaced with very thin first-year sea ice. So multi-year sea ice is really, really thick, really, really hard. And this young stuff is very saline. It's very salty. Remember, it's an ocean that this ice forms on. Even if you were to taste it, you'd spit it out right away because it's really, really salty.",negative,0.6537956595420837,0.05411384999752045,0.292090505361557,0.6537956595420837,-0.5996818095445633,0.707909494638443
10,"The other thing is we're finding crystals in the ice itself called ikaite, which is associated with how CO2 moves through the systems. Up until just recently, we thought the ocean was capped by this ice cover and that CO2 couldn't move between the ocean and the atmosphere. CO2 is the big problem, right? This is what's causing our planet to warm, and we thought that it was decoupled in the Arctic, but we're finding, in fact, it's not. This young sea ice actually plays an active role in exchanging carbon dioxide with the surface.",neutral,0.4902391731739044,0.08377677947282791,0.4902391731739044,0.42598408460617065,-0.34220730513334274,0.5097608268260956
11,"There are similar processes going on with bromine, mercury, and they're very reactive with the atmosphere, so we're very concerned about what these young ice types mean for the evolution of the Arctic atmosphere.",neutral,0.7068235874176025,0.050224531441926956,0.7068235874176025,0.24295181035995483,-0.19272727891802788,0.29317641258239746
12,"Snow on sea ice is also very important. Snow falls on the sea ice. When it falls on ice, it's already there. It forms a thick blanket. It insulates that ice, so the ice can't grow as thick as it would have otherwise. If it falls in the open ocean, it does absolutely nothing at all. So what that's doing is it's protecting this multi-year sea ice from growing too thick, which means that it gets thinner and thinner each year because the snow cover doesn't allow it to grow as thick as it used to be.",neutral,0.5283822417259216,0.12224055081605911,0.5283822417259216,0.3493771553039551,-0.22713660448789597,0.47161775827407837
13,"Of course, this is affecting the animals that live in this environment, in particular polar bears. You've probably heard in the media that polar bears, the sea ice is disappearing. This is an important habitat for the polar bear. So what's going to happen with our polar bears? We have lots of them here in Manitoba. We have lots of them in Canada. Unfortunately, it's not as simple and straightforward as reduction in sea ice means reduction in polar bear habitat. It's much more complicated than that.",negative,0.5231503248214722,0.0827045664191246,0.39414507150650024,0.5231503248214722,-0.44044575840234756,0.6058549284934998
14,"The big problem is when you remove all the sea ice and you have open water. In those areas, the length of that open water is really important because the polar bears have to go on land and have to be able to forage on the sea ice. They have to wait for it to happen in the fall.",neutral,0.47945713996887207,0.06518472731113434,0.47945713996887207,0.4553581476211548,-0.39017342031002045,0.5205428600311279
15,"When you look at the rest of the ecosystem in the Arctic, a good way to think about it is that the sea ice acts like the trees in a tropical rainforest. If you're sitting in your seat right now and you think, okay, if we clear cut all the tropical rainforest trees, we can expect there to be an impact on everything in the tropical ecosystem, right?",neutral,0.6031494140625,0.16138538718223572,0.6031494140625,0.2354651540517807,-0.07407976686954498,0.3968505859375
16,"Well, sea ice plays exactly the same role. If you get rid of all the sea ice, it changes the light environment and the heat environment, which affects everything that lives in the ocean because the ocean has evolved to take advantage of the timing and presence of the sea ice.",neutral,0.6137841939926147,0.07082442194223404,0.6137841939926147,0.31539133191108704,-0.244566909968853,0.38621580600738525
17,"So in fact, our research work shows that the change in sea ice is affecting everything in the marine system, right? From the very smallest viruses and bacteria all the way up through the food chain to polar bears, ring seals, those kinds of things.",neutral,0.6746566891670227,0.10004353523254395,0.6746566891670227,0.22529979050159454,-0.1252562552690506,0.3253433108329773
18,"Another thing we're finding about the ecosystem is that invasive species are becoming a key thing in the Arctic. So on the Atlantic side of the Arctic, we're getting species moving north and displacing the Arctic species. The same's happening on the Pacific side.",neutral,0.5455071330070496,0.06166069209575653,0.5455071330070496,0.3928321897983551,-0.33117149770259857,0.45449286699295044
19,"The other thing that was surprising to us is just how thick some of the multi-year ice is. It piles up on itself. When it piles up on itself, it can actually get thicker in very localized areas in the Arctic. And so this was a big surprise to us as well. This idea of the ice being able to move faster is also a big hazard.",neutral,0.5060490369796753,0.14054664969444275,0.5060490369796753,0.35340431332588196,-0.2128576636314392,0.4939509630203247
20,"What is the big paradox for us from an ice hazards perspective is one of the things that people are looking at the Arctic for is to increase development. CO2 is the thing that is causing a lot of this issue of our warming planet, yet it is opening up the Arctic for new development. And so people around the planet are interested in developing these resources that are there.",neutral,0.6418262124061584,0.20686691999435425,0.6418262124061584,0.1513068825006485,0.05556003749370575,0.35817378759384155
21,And of course the big resources are oil and natural gas. There's also lots of minerals and transportation is a big thing but we have to remember that there are hazards that are still there and we need to pay attention to those when we think about how to develop these resources sustainably.,neutral,0.6029345393180847,0.11555127054452896,0.6029345393180847,0.2815142273902893,-0.16596295684576035,0.3970654606819153
